Gene name,ensembl_gene_id,target_id,pval,qval,b,Log2
Ccpg1,ENSMUSG00000034563,ENSMUST00000085350.10,8.71644298363538E-05,0.0036791724,-0.570672892,-0.8233069513
Slx1b,ENSMUSG00000059772,ENSMUST00000144897.1,0.0022113306,0.0466772473,-0.5708459364,-0.8235566016
Ccdc9b,ENSMUSG00000045838,ENSMUST00000059997.8,3.9441186793957E-06,0.000274549,-0.571124736,-0.8239588244
Atp5g1,ENSMUSG00000006057,ENSMUST00000090541.11,0.0001973414,0.0071308077,-0.5719364647,-0.8251299013
Dock6,ENSMUSG00000032198,ENSMUST00000034728.8,0.0006179665,0.0173414388,-0.5726852062,-0.8262101069
Pde4dip,ENSMUSG00000038170,ENSMUST00000200232.2,9.92217273999971E-05,0.0040903288,-0.5737449313,-0.8277389672
Adgrf5,ENSMUSG00000056492,ENSMUST00000225962.1,5.35087495550793E-05,0.002484241,-0.5742066886,-0.8284051421
Tab1,ENSMUSG00000022414,ENSMUST00000023050.8,2.65634055558167E-05,0.0013863481,-0.5744550024,-0.8287633831
Kdm8,ENSMUSG00000030752,ENSMUST00000033010.8,0.000874218,0.0228127821,-0.5746382053,-0.8290276891
Casq2,ENSMUSG00000027861,ENSMUST00000029454.11,0.0002076871,0.0074236237,-0.5751213621,-0.829724737
Flad1,ENSMUSG00000042642,ENSMUST00000129308.8,0.000468471,0.013996794,-0.5751530521,-0.8297704561
Ndufaf5,ENSMUSG00000027384,ENSMUST00000044825.4,0.000059272,0.0027094354,-0.5757922894,-0.8306926805
Itga6,ENSMUSG00000027111,ENSMUST00000126787.1,0.0001117111,0.0045242143,-0.5762105435,-0.8312960937
Tarsl2,ENSMUSG00000030515,ENSMUST00000032728.8,2.08152766633732E-05,0.0011353281,-0.5762789903,-0.8313948415
Aes,ENSMUSG00000054452,ENSMUST00000218432.1,0.0007251882,0.0198324185,-0.5763308562,-0.8314696681
Zfp651,ENSMUSG00000013419,ENSMUST00000213743.1,2.06892053864707E-05,0.0011333705,-0.5763720084,-0.8315290382
Notch3,ENSMUSG00000038146,ENSMUST00000087723.3,9.1865178014622E-05,0.0038257658,-0.5773718156,-0.8329714552
Pdpr,ENSMUSG00000033624,ENSMUST00000039333.9,7.38600250782227E-07,6.48853583493978E-05,-0.5783948379,-0.8344473643
Pgam2,ENSMUSG00000020475,ENSMUST00000020768.3,6.53735231660269E-07,5.83001960046119E-05,-0.5785019868,-0.8346019475
Oat,ENSMUSG00000030934,ENSMUST00000084500.7,1.08781678277457E-06,9.19057710269815E-05,-0.5785078237,-0.8346103683
Mdh2,ENSMUSG00000019179,ENSMUST00000138101.1,1.77702224969753E-05,0.0009982418,-0.5788123652,-0.8350497289
Smim19,ENSMUSG00000031534,ENSMUST00000033935.15,3.62805188197912E-05,0.0017928059,-0.5789421259,-0.835236934
Sdhc,ENSMUSG00000058076,ENSMUST00000155798.1,0.0009068019,0.0235009871,-0.5793287915,-0.8357947746
Adgrf5,ENSMUSG00000056492,ENSMUST00000226087.1,0.0015919951,0.0365393229,-0.5807375917,-0.8378272436
Nampt,ENSMUSG00000020572,ENSMUST00000020886.8,6.40649588475937E-07,5.73262342066484E-05,-0.581146815,-0.838417628
Fem1a,ENSMUSG00000043683,ENSMUST00000060253.3,3.28745770409228E-05,0.0016601191,-0.5813139598,-0.838658767
Ghr,ENSMUSG00000055737,ENSMUST00000069451.10,9.82302269184301E-07,8.36583570827974E-05,-0.5814246119,-0.8388184042
Coq8a,ENSMUSG00000026489,ENSMUST00000161300.6,1.40728140437888E-06,0.0001152209,-0.5817691221,-0.8393154274
Mccc2,ENSMUSG00000021646,ENSMUST00000022148.6,2.10741747798628E-05,0.0011461625,-0.5833851233,-0.8416468243
Enah,ENSMUSG00000022995,ENSMUST00000111024.9,0.0003023919,0.0098758353,-0.5850321818,-0.8440230274
Nudt7,ENSMUSG00000031767,ENSMUST00000147605.7,0.0004903224,0.0145024279,-0.5859758399,-0.8453844382
Lims2,ENSMUSG00000024395,ENSMUST00000025254.8,2.77754436321556E-05,0.0014396757,-0.5870733516,-0.846967813
Tnnc2,ENSMUSG00000017300,ENSMUST00000103095.4,1.35891565968104E-06,0.0001117793,-0.5871603301,-0.8470932965
Znrf1,ENSMUSG00000033545,ENSMUST00000173506.7,0.0017961999,0.0397951046,-0.5872395097,-0.8472075285
Ptpn4,ENSMUSG00000026384,ENSMUST00000064091.11,6.02959429257842E-06,0.0003919088,-0.5875183927,-0.8476098716
B330016D10Rik,ENSMUSG00000048406,ENSMUST00000049927.5,0.0008231839,0.0218469536,-0.5875869853,-0.8477088298
St8sia4,ENSMUSG00000040710,ENSMUST00000043336.10,0.0004604277,0.0138052726,-0.5876135744,-0.8477471897
Inpp1,ENSMUSG00000026102,ENSMUST00000027271.8,0.0005544053,0.0159611471,-0.5880102419,-0.84831946
Znrf1,ENSMUSG00000033545,ENSMUST00000095176.11,6.673111349659E-05,0.0029655598,-0.5900232421,-0.8512236054
Ppp2r3a,ENSMUSG00000043154,ENSMUST00000066773.8,4.74839904659693E-07,4.50783051425411E-05,-0.5906649841,-0.8521494433
Ampd1,ENSMUSG00000070385,ENSMUST00000090715.12,4.80279439032965E-07,4.54318620069522E-05,-0.5910304744,-0.8526767344
Zbtb38,ENSMUSG00000040433,ENSMUST00000152594.7,2.55586925441989E-05,0.001341844,-0.5918061925,-0.8537958591
Vps13d,ENSMUSG00000020220,ENSMUST00000130704.7,0.0012926755,0.0310834771,-0.591979278,-0.8540455687
Fcgrt,ENSMUSG00000003420,ENSMUST00000210642.1,0.0005897361,0.0167417425,-0.5921900515,-0.8543496505
Khdrbs3,ENSMUSG00000022332,ENSMUST00000230847.1,9.44632387477124E-05,0.003921631,-0.5928081842,-0.8552414276
Ckm,ENSMUSG00000030399,ENSMUST00000003643.2,3.33211236286952E-06,0.0002375666,-0.594078622,-0.8570742819
Bckdk,ENSMUSG00000030802,ENSMUST00000071056.13,6.81167781533608E-05,0.0030170151,-0.5947620228,-0.8580602208
Slc25a11,ENSMUSG00000014606,ENSMUST00000014750.14,4.2573624398248E-07,4.13807817476769E-05,-0.5948163266,-0.8581385647
Fam213b,ENSMUSG00000029059,ENSMUST00000030935.9,0.00002753,0.0014297491,-0.5961146466,-0.8600116445
Det1,ENSMUSG00000030610,ENSMUST00000138062.2,0.0018634617,0.0410620443,-0.5962636256,-0.8602265757
